concurrency_level,total_requests,successful_requests,failed_requests,mean_latency_ms,median_latency_ms,min_latency_ms,max_latency_ms,success_rate_percent
1,1,1,0,280.499,280.499,280.499,280.499,100.0
5,5,5,0,199.4344,192.298,182.242,219.493,100.0
10,10,10,0,208.71390000000002,227.8065,128.643,228.552,100.0
20,20,12,8,184.0403,183.106,133.55,220.53,60.0
50,50,34,16,153.37104,166.2615,99.759,212.288,68.0
100,100,43,57,193.08571,177.66649999999998,130.243,369.014,43.0
