timestamp,round_id,label,n,status_code,client_latency_ms,function_time_ms,prime_count
2026-06-17T00:36:03.179462,1,cold_candidate,1000,200,479.03,0.538,168
2026-06-17T00:36:05.489837,1,warm_followup,1000,200,308.957,0.519,168
2026-06-17T00:52:30.733758,2,cold_candidate,1000,200,485.95,0.554,168
2026-06-17T00:52:32.986363,2,warm_followup,1000,200,251.669,0.519,168
2026-06-17T01:08:28.803381,3,cold_candidate,1000,200,406.0,0.441,168
2026-06-17T01:08:31.085952,3,warm_followup,1000,200,281.424,0.391,168
2026-06-17T01:24:34.221542,4,cold_candidate,1000,200,512.388,0.552,168
2026-06-17T01:24:36.419644,4,warm_followup,1000,200,197.187,0.557,168
2026-06-17T01:40:46.565736,5,cold_candidate,1000,200,509.081,0.534,168
2026-06-17T01:40:48.950466,5,warm_followup,1000,200,383.548,0.595,168
